timestamp,node,raw_line
06:42:24.508,S2,[IGNORE] POLL:1
06:42:24.515,MASTER,========================================
06:42:24.515,MASTER,=== CYCLE 14 ===
06:42:24.525,MASTER,[TX] POLL:1
06:42:24.556,S1,[RX] POLL:1 | RSSI: -58 dBm | SNR: 9.50 dB | RX#: 14
06:42:24.557,S2,[IGNORE] S1:DATA:14
06:42:24.566,S1,[TX] S1:DATA:14
06:42:24.587,S1,[IGNORE] POLL:2
06:42:24.599,MASTER,[RX] S1:DATA:14 | RSSI: -53 dBm | SNR: 9.25 dB
06:42:24.599,MASTER,[TX] POLL:2
06:42:24.634,S2,[RX] POLL:2 | RSSI: -69 dBm | SNR: 8.75 dB | RX#: 14
06:42:24.636,S1,[IGNORE] S2:DATA:14
06:42:24.645,S2,[TX] S2:DATA:14
06:42:24.679,MASTER,[RX] S2:DATA:14 | RSSI: -65 dBm | SNR: 9.25 dB
06:42:24.712,MASTER,--- STATISTIK ---
06:42:24.746,MASTER,S1: OK=14 | FAIL=0 | Data: 14
06:42:24.778,MASTER,S2: OK=14 | FAIL=0 | Data: 14
06:42:24.779,MASTER,Durasi siklus: 166 ms
06:42:24.817,MASTER,========================================
06:42:25.308,S2,[IGNORE] POLL:1
06:42:25.314,MASTER,========================================
06:42:25.315,MASTER,=== CYCLE 15 ===
06:42:25.325,MASTER,[TX] POLL:1
06:42:25.355,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 9.00 dB | RX#: 15
06:42:25.356,S2,[IGNORE] S1:DATA:15
06:42:25.366,S1,[TX] S1:DATA:15
06:42:25.386,S1,[IGNORE] POLL:2
06:42:25.399,MASTER,[RX] S1:DATA:15 | RSSI: -52 dBm | SNR: 9.25 dB
06:42:25.399,MASTER,[TX] POLL:2
06:42:25.434,S2,[RX] POLL:2 | RSSI: -69 dBm | SNR: 8.75 dB | RX#: 15
06:42:25.435,S1,[IGNORE] S2:DATA:15
06:42:25.445,S2,[TX] S2:DATA:15
06:42:25.478,MASTER,[RX] S2:DATA:15 | RSSI: -65 dBm | SNR: 9.00 dB
06:42:25.512,MASTER,--- STATISTIK ---
06:42:25.545,MASTER,S1: OK=15 | FAIL=0 | Data: 15
06:42:25.578,MASTER,S2: OK=15 | FAIL=0 | Data: 15
06:42:25.579,MASTER,Durasi siklus: 166 ms
06:42:25.616,MASTER,========================================
06:42:26.108,S2,[IGNORE] POLL:1
06:42:26.114,MASTER,========================================
06:42:26.114,MASTER,=== CYCLE 16 ===
06:42:26.125,MASTER,[TX] POLL:1
06:42:26.155,S1,[RX] POLL:1 | RSSI: -58 dBm | SNR: 8.75 dB | RX#: 16
06:42:26.156,S2,[IGNORE] S1:DATA:16
06:42:26.166,S1,[TX] S1:DATA:16
06:42:26.187,S1,[IGNORE] POLL:2
06:42:26.199,MASTER,[RX] S1:DATA:16 | RSSI: -52 dBm | SNR: 9.50 dB
06:42:26.199,MASTER,[TX] POLL:2
06:42:26.233,S2,[RX] POLL:2 | RSSI: -69 dBm | SNR: 8.75 dB | RX#: 16
06:42:26.235,S1,[IGNORE] S2:DATA:16
06:42:26.244,S2,[TX] S2:DATA:16
06:42:26.279,MASTER,[RX] S2:DATA:16 | RSSI: -65 dBm | SNR: 9.25 dB
06:42:26.312,MASTER,--- STATISTIK ---
06:42:26.345,MASTER,S1: OK=16 | FAIL=0 | Data: 16
06:42:26.378,MASTER,S2: OK=16 | FAIL=0 | Data: 16
06:42:26.379,MASTER,Durasi siklus: 166 ms
06:42:26.415,MASTER,========================================
06:42:26.907,S2,[IGNORE] POLL:1
06:42:26.913,MASTER,========================================
06:42:26.914,MASTER,=== CYCLE 17 ===
06:42:26.924,MASTER,[TX] POLL:1
06:42:26.955,S1,[RX] POLL:1 | RSSI: -58 dBm | SNR: 9.00 dB | RX#: 17
06:42:26.956,S2,[IGNORE] S1:DATA:17
06:42:26.965,S1,[TX] S1:DATA:17
06:42:26.985,S1,[IGNORE] POLL:2
06:42:27.002,MASTER,[RX] S1:DATA:17 | RSSI: -52 dBm | SNR: 9.50 dB
06:42:27.003,MASTER,[TX] POLL:2
06:42:27.033,S2,[RX] POLL:2 | RSSI: -69 dBm | SNR: 9.00 dB | RX#: 17
06:42:27.034,S1,[IGNORE] S2:DATA:17
06:42:27.043,S2,[TX] S2:DATA:17
06:42:27.077,MASTER,[RX] S2:DATA:17 | RSSI: -65 dBm | SNR: 9.00 dB
06:42:27.111,MASTER,--- STATISTIK ---
06:42:27.144,MASTER,S1: OK=17 | FAIL=0 | Data: 17
06:42:27.177,MASTER,S2: OK=17 | FAIL=0 | Data: 17
06:42:27.178,MASTER,Durasi siklus: 165 ms
06:42:27.216,MASTER,========================================
06:42:27.707,S2,[IGNORE] POLL:1
06:42:27.713,MASTER,========================================
06:42:27.714,MASTER,=== CYCLE 18 ===
06:42:27.724,MASTER,[TX] POLL:1
06:42:27.754,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 8.75 dB | RX#: 18
06:42:27.755,S2,[IGNORE] S1:DATA:18
06:42:27.765,S1,[TX] S1:DATA:18
06:42:27.785,S1,[IGNORE] POLL:2
06:42:27.804,MASTER,[RX] S1:DATA:18 | RSSI: -52 dBm | SNR: 9.50 dB
06:42:27.805,MASTER,[TX] POLL:2
06:42:27.833,S2,[RX] POLL:2 | RSSI: -69 dBm | SNR: 9.00 dB | RX#: 18
06:42:27.834,S1,[IGNORE] S2:DATA:18
06:42:27.843,S2,[TX] S2:DATA:18
06:42:27.877,MASTER,[RX] S2:DATA:18 | RSSI: -65 dBm | SNR: 9.00 dB
06:42:27.910,MASTER,--- STATISTIK ---
06:42:27.944,MASTER,S1: OK=18 | FAIL=0 | Data: 18
06:42:27.977,MASTER,S2: OK=18 | FAIL=0 | Data: 18
06:42:27.978,MASTER,Durasi siklus: 165 ms
06:42:28.015,MASTER,========================================
06:42:28.507,S2,[IGNORE] POLL:1
06:42:28.512,MASTER,========================================
06:42:28.513,MASTER,=== CYCLE 19 ===
06:42:28.523,MASTER,[TX] POLL:1
06:42:28.554,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 9.00 dB | RX#: 19
06:42:28.555,S2,[IGNORE] S1:DATA:19
06:42:28.564,S1,[TX] S1:DATA:19
06:42:28.585,S1,[IGNORE] POLL:2
06:42:28.603,MASTER,[RX] S1:DATA:19 | RSSI: -52 dBm | SNR: 9.25 dB
06:42:28.604,MASTER,[TX] POLL:2
06:42:28.632,S2,[RX] POLL:2 | RSSI: -69 dBm | SNR: 8.75 dB | RX#: 19
06:42:28.633,S1,[IGNORE] S2:DATA:19
06:42:28.643,S2,[TX] S2:DATA:19
06:42:28.677,MASTER,[RX] S2:DATA:19 | RSSI: -65 dBm | SNR: 9.25 dB
06:42:28.710,MASTER,--- STATISTIK ---
06:42:28.743,MASTER,S1: OK=19 | FAIL=0 | Data: 19
06:42:28.777,MASTER,S2: OK=19 | FAIL=0 | Data: 19
06:42:28.777,MASTER,Durasi siklus: 165 ms
06:42:28.814,MASTER,========================================
06:42:29.306,S2,[IGNORE] POLL:1
06:42:29.312,MASTER,========================================
06:42:29.313,MASTER,=== CYCLE 20 ===
06:42:29.322,MASTER,[TX] POLL:1
06:42:29.353,S1,[RX] POLL:1 | RSSI: -36 dBm | SNR: 9.00 dB | RX#: 20
06:42:29.354,S2,[IGNORE] S1:DATA:20
06:42:29.364,S1,[TX] S1:DATA:20
06:42:29.384,S1,[IGNORE] POLL:2
06:42:29.401,MASTER,[RX] S1:DATA:20 | RSSI: -52 dBm | SNR: 9.25 dB
06:42:29.402,MASTER,[TX] POLL:2
06:42:29.432,S2,[RX] POLL:2 | RSSI: -69 dBm | SNR: 8.75 dB | RX#: 20
06:42:29.432,S1,[IGNORE] S2:DATA:20
06:42:29.442,S2,[TX] S2:DATA:20
06:42:29.476,MASTER,[RX] S2:DATA:20 | RSSI: -65 dBm | SNR: 9.00 dB
06:42:29.510,MASTER,--- STATISTIK ---
06:42:29.543,MASTER,S1: OK=20 | FAIL=0 | Data: 20
06:42:29.576,MASTER,S2: OK=20 | FAIL=0 | Data: 20
06:42:29.577,MASTER,Durasi siklus: 165 ms
06:42:29.614,MASTER,========================================
06:42:30.106,S2,[IGNORE] POLL:1
06:42:30.112,MASTER,========================================
06:42:30.112,MASTER,=== CYCLE 21 ===
06:42:30.123,MASTER,[TX] POLL:1
06:42:30.152,S1,[RX] POLL:1 | RSSI: -36 dBm | SNR: 9.00 dB | RX#: 21
06:42:30.153,S2,[IGNORE] S1:DATA:21
